trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.1, 'e': 0.6719979426475889}",20,0,-52.10054514456128,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.6703200460356393}",25,0,-78.76358327805116,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
161,False,"{'a': 0.1, 'e': 0.6686463389261594}",35,0,-154.5456256308414,"{0: 20, 1: 2, 2: 11, 3: 1, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.6669768108584744}",30,5,-27.59187867015155,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.6653114513980284}",30,0,-26.49752340611819,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
164,False,"{'a': 0.1, 'e': 0.6636502501363194}",25,14,2.607567704504758,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.661993196690834}",25,0,-16.340878691853227,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.6603402807049829}",25,2,-93.65227341123553,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
167,False,"{'a': 0.1, 'e': 0.6586914918480358}",25,0,-102.16711219535597,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
168,False,"{'a': 0.1, 'e': 0.6570468198150567}",30,0,-85.23019174371379,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
169,False,"{'a': 0.1, 'e': 0.6554062543268405}",25,0,-61.2551759582664,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
170,False,"{'a': 0.1, 'e': 0.6537697851298473}",35,7,-4.377255746662431,"{0: 22, 1: 5, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.6521374019961392}",20,0,-97.89006417078892,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
172,False,"{'a': 0.1, 'e': 0.6505090947233165}",20,8,-45.77406903575496,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.1, 'e': 0.6488848531344534}",20,15,-30.951334151443923,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.1, 'e': 0.6472646670780347}",30,8,-28.07822420261452,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.1, 'e': 0.645648526427892}",25,0,-105.44936223498601,"{0: 16, 1: 1, 2: 4, 3: 4, 4: 0}",0
176,False,"{'a': 0.1, 'e': 0.6440364210831414}",35,8,-71.10165049478796,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 2}",1
177,False,"{'a': 0.1, 'e': 0.642428340968119}",25,13,11.512399679330397,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.6408242760323187}",25,7,-53.48339006704775,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
179,False,"{'a': 0.1, 'e': 0.6392242162503299}",20,0,-11.08321694358541,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
180,False,"{'a': 0.1, 'e': 0.6376281516217733}",25,9,-6.724038267442022,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.63603607217124}",30,0,-91.74129961572318,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
182,False,"{'a': 0.1, 'e': 0.6344479679482282}",30,0,-117.73031366982237,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
